 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
13,Strongly Connected Components,1,SCCs; Transitive Closure,,Vertex collapse method,,,,,,,,Hirschberg et al.,1979,https://dl.acm.org/doi/abs/10.1145/359138.359141,,,,,,,,O(log^2(n)),O(log^2(n)),2,https://dl.acm.org/doi/abs/10.1145/359138.359141,O(n^2 log^2(n)) ,22,,,n: number of vertices,,,,SIMD-SM-R (CREW PRAM?),210,,,,,,,,,,,,,,1,n ceilling(n/log(n)),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected,,Vertex collapse method,,,,,,,,Wyllie,1979,https://hdl.handle.net/1813/7502,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O(log^2(n)*(n+m)),22,,,"n: number of nodes
m: number of edges",,,,MIMD-TC-R,320,,,,,,,,,0,,0,,0,1,n+m,,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph; also transitive closure of a symmetric Boolean matrix,,,,,,,,,,"Hirschberg, Chandra, Sarwate",1979,https://dl.acm.org/doi/pdf/10.1145/359138.359141,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O(n^2*log(n)),21,,,n: number of vertices,,,,SIMD-SM CREW,210,,,,,,,,,0,,0,,0,1,n ceilling(n/log^2(n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,"undirected, vertex degree at most d",,Vertex collapse method,,,,,,,,Nassimi and Sahni,1980,https://epubs.siam.org/doi/abs/10.1137/0209058,,,,,,,,O(n^0.5 log(n)),O(n^0.5 log(n)),6.1,,O(n^1.5 log(n)),16.1,,,n: number of vertices,,,,SIMD-SM-R (mesh-connected parallel computer),700,,,,,,,,,0,,0,,0,1,n,,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,dense undirected graph (with small diameter),,Vertex collapse method,,,,,,,,Savage and Ja'Ja',1981,https://epubs.siam.org/doi/abs/10.1137/0210051,,,,,,,,O(log(n)log(d)),O(log(n)log(d)),,,O(n^3*log(d)),,,,"n: number of nodes
d: diameter of the the graph",,,,SIMD-SM-R (CREW PRAM?),210,,,,,,,,,0,,0,,0,1,O(n^3/log(n)),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph - sparse,,Vertex collapse method,,,,,,,,Savage and Ja'Ja',1981,https://epubs.siam.org/doi/abs/10.1137/0210051,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O((m+n log(n))*log^2(n)),-,,,"n: number of nodes
m: number of edges",,,,SIMD-SM-R (CREW PRAM?),210,,,,,,,,,0,,0,,0,1,O(m+n log(n)),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,Vertex collapse method,,,,,,,,Savage,1981,https://link.springer.com/chapter/10.1007/978-3-642-68402-9_32,,,,,,,,O(n+m),O(n+m),20,,O(n(n+m)),30,,,"n: number of nodes
m: number of edges",,,,Systolic array,,,,,,,,,,0,,0,,0,1,n+1,,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCCs; Transitive Closure,,,,,,,,,,Chin et al.,1982,https://dl.acm.org/doi/pdf/10.1145/358628.358650,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O(n^2),20,,,,,,,SIMD-SM-R (CREW PRAM?),210,,,,,,,,,,,,,,1,n ceilling(n/log^2(n)),,,,"originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515
refrenced this https://hub.hku.hk/handle/10722/151778 ? don't have access to it but same authors, maybe same content?",,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,Vertex collapse method,,,,,,,,Nath and Maheshwari,1982,https://www.sciencedirect.com/science/article/pii/0020019082901314,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O(n^2*log(n)),21,,,n: number of nodes,,,,SIMD-SM (EREW PRAM?),110,,,,,,,,,0,,0,,0,1,n^2/log n,,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,Vertex collapse method,,,,,,,,Shiloach and Vishkin,1982,https://www.sciencedirect.com/science/article/pii/0196677482900086,,,,,,,,O(log(n)),O(log(n)),1,,O(m*log(n)),21,,,"n: number of nodes
m: number of edges",,,,SIMD-SM-RW (arbitrary-CRCW PRAM),131,,,,,,,,,0,,0,,0,1,n+2m,,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected,,,,,,,,,,Vishkin,1982,https://www.sciencedirect.com/science/article/pii/0166218X84900192,,,,,,,,O(n^2/p),O(log^2(n)),2,,O(n^2),20,,,n: number of nodes,,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,p (<=n^2/log^2 n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,Transitive closure method,,,,,,,,Kucera,1982,https://www.sciencedirect.com/science/article/pii/002001908290093X,,,,,,,,O(log(n)),O(log(n)),1,,O(n^4*log(n)),41,,,n: number of nodes,,,,SIMD-SM-RW (CRCW PRAM?),,,,,,,,,,0,,0,,0,1,n^4,,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,biconnected components,,Vertex collapse method,,,,"Expected span: O((log log n )^2)
Expected work: O(n^3 (log log n )^2 / log n)",,,,Reif and Spirakis,1982,https://apps.dtic.mil/sti/citations/ADA114875,,,,,,,,,,,,,,,,n: number of nodes,,,,RP-RAM (Arbitrary CRCW),,,,,,,,,,1,"time w/ probability 1-exp(-kn^a) for some k,a >0",0,,0,1,O(n^3/log n) (expected),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,biconnected components,,Vertex collapse method,,,,"Expected span: O(log n *(log log n)^2)
Expected work: O(n^3 (log log n)^2)",,,,Reif and Spirakis,1982,https://apps.dtic.mil/sti/citations/ADA114875,,,,,,,,,,,,,,,,n: number of nodes,,,,PRAM CREW,,,,,,,,,,1,"time w/ probability 1-exp(-kn^a) for some k,a >1",0,,0,1,O(n^3/log n) (expected),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,transitive closure,,Vertex collapse method,,,,"Expected span: O(log log n)
Expected work: O(n^3 * log log n / log n)",,,,Reif and Spirakis,1982,https://apps.dtic.mil/sti/citations/ADA114875,,,,,,,,,,,,,,,,n: number of nodes,,,,RP-RAM (Arbitrary CRCW),,,,,,,,,,1,"time w/ probability 1-exp(-kn^a) for some k,a >0",0,,0,1,O(n^3/log n) (expected),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,transitive closure,,Vertex collapse method,,,,"Expected span: O(log n * log log n)
Expected work: O(n^3 * log log n)",,,,Reif and Spirakis,1982,https://apps.dtic.mil/sti/citations/ADA114875,,,,,,,,,,,,,,,,n: number of nodes,,,,PRAM CREW,,,,,,,,,,1,"time w/ probability 1-exp(-kn^a) for some k,a >1",0,,0,1,O(n^3/log n) (expected),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCC,,Vertex collapse method,,,,"Expected span: O(log log n)
Expected work: O(n^3 * log log n / log n)",,,,Reif and Spirakis,1982,https://apps.dtic.mil/sti/citations/ADA114875,,,,,,,,,,,,,,,,n: number of nodes,,,,RP-RAM (Arbitrary CRCW),,,,,,,,,,1,"time w/ probability 1-exp(-kn^a) for some k,a >0",0,,0,1,O(n^3/log n) (expected),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCC,,Vertex collapse method,,,,"Expected span: O(log n * log log n)
Expected work: O(n^2 * log log n)",,,,Reif and Spirakis,1982,https://apps.dtic.mil/sti/citations/ADA114875,,,,,,,,,,,,,,,,n: number of nodes,,,,PRAM CREW,,,,,,,,,,1,"time w/ probability 1-exp(-kn^a) for some k,a >1",0,,0,1,O(n^2/log n) (expected),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Koubek, Kršňáková",1985,https://link.springer.com/content/pdf/10.1007/BFb0028804.pdf,,,,,,,,O(log(n)),O(log(n)),1,,O((m+n)*log(n)),21,,,"n: number of vertices
m: number of edges",,,,PRAM-CRCW,130,,,,,,,,,0,,0,,0,1,O(m+n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Koubek, Kršňáková",1985,https://link.springer.com/content/pdf/10.1007/BFb0028804.pdf,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O((m+n)*log(n)),21,,,"n: number of vertices
m: number of edges",,,,PRAM-CREW and PRAM-EREW,110,,,,,,,,,0,,0,,0,1,O((m+n)/log(n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,Reif,1985,https://apps.dtic.mil/sti/tr/pdf/ADA161791.pdf,,,,,,,,O(log n),O(log n),1,,O(m+n),20,,,"n: number of vertices
m: number of edges",,,,CRCW PRAM,130,,,,,,,,,1,"\exists c \any \alpha> 1, \any sufficiently large n, span <=c\alpha*log(n) holds with probability at least 1- 1/n^\alpha",0,,0,1,O((m+n)/log(n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,Gazit,1986,https://epubs.siam.org/doi/pdf/10.1137/0220066,,,,,,,,O(log(n)),O(log(n)),1,,O(m+n),20,,,"n: number of vertices
m: number of edges",,,,PRAM-CRCW,130,,,,,,,,,1,The probability that the algorithm runs longer than expected is at most (2/e)^{n/log^k(n)} for some constant k < 4,0,,0,1,O((m+n)/log(n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Cole, Vishkin",1986,https://ieeexplore.ieee.org/iel5/4568183/4568184/04568239.pdf,,,,,,,,O(log n),O(log n),1,,"O((n+m) \alpha(m,n))",,,,"n: number of nodes
m: number of edges",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,"O((n + m) \alpha(m,n)/log n)",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Cole, Vishkin",1987,https://www.sciencedirect.com/science/article/pii/0890540189900369/pdf?md5=78fcc1ee8f52d0433144fd3e62697bd8&pid=1-s2.0-0890540189900369-main.pdf,,,,,,,,O(log^2 n),O(log^2 n),2,,"O((n + m) \alpha(m, n)) ",,,,"n: number of vertices
m: number of edges",,,,PRAM-CREW,120,,,,,,,,,0,,0,,0,1,"O((n + m) \alpha(m, n)/log^2(n)) ",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Awerbuch, Shiloach",1987,https://ieeexplore.ieee.org/document/1676869,,,,,,,,O(log m),O(log m),1,,O(m*log m),21,,,m: number of edges,,,,PRAM-CRCW,130,,,,,,,,,0,,0,,0,1,m+n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,connected components in undirected graph,,,,,,,,,,"Kruskal, Rudolph, Snir",1990,https://link.springer.com/article/10.1007/BF01840376,,,,,,,,P(m/p*log(n)/log(m/(p^2*log(p))) + n/p*log(p)),P(m/p*log(n)/log(m/(p^2*log(p))) + n/p*log(p)),,,P(m*log(n)/log(m/(p^2*log(p))) + n*log(p)),,,,"n: number of nodes
m: number of edges
p: number of processors",,,,MIMD EREW,310,,,,,,,,,0,,0,,0,1,"p <= m^{1/2-eps} for any eps>0
log p <= m/n",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,biconnected components,,,,,,,,,,"Kruskal, Rudolph, Snir",1990,https://link.springer.com/article/10.1007/BF01840376,,,,,,,,P(m/p*log(n)/log(m/(p^2*log(p))) + n/p*log(p)),P(m/p*log(n)/log(m/(p^2*log(p))) + n/p*log(p)),,,P(m*log(n)/log(m/(p^2*log(p))) + n*log(p)),,,,"n: number of nodes
m: number of edges
p: number of processors",,,,MIMD EREW,310,,,,,,,,,0,,0,,0,1,"p <= m^{1/2-eps} for any eps>0
log p <= m/n",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Han, Wagner",1990,https://dl.acm.org/doi/pdf/10.1145/79147.214077,,,,,,,,O(m/p + (n log n)/p + log^2 n),O(m/p + (n log n)/p + log^2 n),,,O(m + (n log n) + p*log^2 n),,,,"n: number of vertices
m: number of edges
p: number of processors",,,,PRAM-CREW,120,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Das, Deo, Prasad",1990,https://www.sciencedirect.com/science/article/pii/016781919090143W,,,,,,,,O(m/p + n log p),O(m/p + n log p),,,O(m + np log p),,,,"n: number of nodes
m: number of edges
p: number of processors",,,,MIMD hypercube,700,,,,,,,,,0,,0,,0,1,p <= (m/n)/(1 +log(m/n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Han, Wagner",1990,https://dl.acm.org/doi/pdf/10.1145/79147.214077,,,,,,,,O(m/p + (n log n)/p + log^2 n),O(m/p + (n log n)/p + log^2 n),,,O(m + (n log n) + p log^2 n),,,,"n: number of nodes
m: number of edges",,,,PRAM CREW,120,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Cole, Vishkin",1991,https://www.sciencedirect.com/science/article/pii/0890540189900369/pdf?md5=78fcc1ee8f52d0433144fd3e62697bd8&pid=1-s2.0-0890540189900369-main.pdf,,,,,,,,O(log n),O(log n),1,,"O((n + m) \alpha(m, n)) ",,,,"n: number of vertices
m: number of edges",,,,PRAM-CRCW,130,,,,,,,,,0,,0,,0,1,"O((n + m) \alpha(m, n)/log(n)) ",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,,,,,"Expected time: \tilde{O}(t)
Expected work: \tilde{O}(n^3/t^2 + m)",,,,Spencer,1991,https://dl.acm.org/doi/pdf/10.1145/113379.113387,,,,,,,,,,,,,,,,"n: number of vertices
m: number of edges
t: longest shortest path?",,,,PRAM-EREW,110,,,,,,,,,1,Las Vegas,0,,0,1,\tilde{O}(n^3/t^3 + m/t),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,,,,,"Expected time: \tilde{O}(t)
Expected work: \tilde{O}(mn/t + n^3/t^3)",,,,Spencer,1991,https://dl.acm.org/doi/pdf/10.1145/113379.113387,,,,,,,,,,,,,,,,"n: number of vertices
m: number of edges
t: longest shortest path?",,,,PRAM-EREW,110,,,,,,,,,1,Las Vegas,0,,0,1,\tilde{O}(mn/t^2 + n^3/t^4),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,,,,,"Expected time: \tilde{O}(t)
Expected work: \tilde{O}(mn + n^3/t^5)",,,,Spencer,1991,https://dl.acm.org/doi/pdf/10.1145/113379.113387,,,,,,,,,,,,,,,,"n: number of vertices
m: number of edges
t: longest shortest path?",,,,PRAM-EREW,110,,,,,,,,,1,Monte Carlo,0,,0,1,\tilde{O}(mn/t + n^3/t^6),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirecred graph,,,,,,,,,,"Johnson, Metaxas",1991,https://digitalcommons.dartmouth.edu/cgi/viewcontent.cgi?article=1061&context=cs_tr,,,,,,,,O(log^{3/2}(n)),O(log^{3/2}(n)),1.5,,O((m+n)log^{3/2}(n)),,,,"n: number of vertices
m: number of edges",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,m+n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirecred graph,,,,,,,,,,"Karger, Nisan, Parnas",1992,https://dl.acm.org/doi/pdf/10.1145/140901.141920,,,,,,,,O(log n),O(log n),1,,"O(m+n^{1+\eps}), \eps>0",,,,"n: number of vertices
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,,0,,0,1,"O((m+n^{1+\eps}) / log n), \eps>0",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirecred graph,,,,,,,,,,"Karger, Nisan, Parnas",1992,https://dl.acm.org/doi/pdf/10.1145/140901.141920,,,,,,,,O(log n log log n),O(log n log log n),1.1,,O((m+n) log log n),20.1,,,"n: number of vertices
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,,0,,0,1,O((m+n) / log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirecred graph,,,,,,,,,,"Karger, Nisan, Parnas",1992,https://dl.acm.org/doi/pdf/10.1145/140901.141920,,,,,,,,O(log^1.5(n)),O(log^1.5(n)),1.5,,O((m+n)log^1.5(n)),21.5,,,"n: number of vertices
m: number of edges",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,m+n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0.001,undirected graphs,,,,,,,,,,"Nisan, Szemeredi, Wigderson",1992,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=cda3df47a2962c5b98f2ac892c7a0f64d442fb3e,,,,,,,,O(log^{1.5} n),O(log^{1.5} n),1.5,,,,,,,,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,planar directed graph,,,,,,,,,,Kao,1993,https://epubs.siam.org/doi/pdf/10.1137/0222032,,,,,,,,O(log^3 n),O(log^3 n),3,,O(n log^2 n),12,,,n: number of nodes,,,,Arbitrary CRCW PRAM,131,,,,,,,,,0,,0,,0,1,n/log n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0.001,,,,,,,,,,,Greiner,1993,https://ncit-cluster.grid.pub.ro/trac/PP2009/export/139/proiecte/pgraph/Documentation/connected2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirecred graph,,,,,,,,,,"Chong, Lam",1993,https://dl.acm.org/doi/pdf/10.5555/313559.313575,,,,,,,,O(log n log log n) ,O(log n log log n) ,1.1,,O((n+m) log n log log n) ,21,,,"n: number of vertices
m: number of edges",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(n+m),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirecred graph,,,,,,,,,,"Halperin, Zwick",1994,https://dl.acm.org/doi/pdf/10.1145/181014.181017,,,,,,,,O(log n),O(log n),1,,O(m+n),20,,,"n: number of vertices
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,The probability y that the algorithm will not complete in O(log n) time is at most n^{-c} for any desired c >0.,0,,0,1,O((m+n) / log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,0.001,undirecred graph,,,,,,,,,,"Iwama, Kambayashi",1994,https://www.sciencedirect.com/science/article/pii/S0196677484710091,,,,,,,,O(log^2 n),O(log^2 n),2,,"O((n + m) \alpha(m, n)) ",,,,"n: number of vertices
m: number of edges",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,"O((n + m) \alpha(m, n)/log^2(n)) ",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,,,,,"Expected time: O((n/r)*log^2(r)*log(n))
Expected work: O(nr^2*log^2(r)*log(n))",,,,Spencer,1997,https://dl.acm.org/doi/pdf/10.1145/265910.265923,,,,,,,,,,,,,,,,"n: number of vertices
m: number of edges
r: in range sqrt(m/n) <= r <= n
(r^3: number of processors)",,,,probabilitistic EREW PRAM,,,,,,,,,,1,,0,,0,1,r^3,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,undirected graph,,,,,,,,,,"Pettie, Ramachandran",2001,https://www.cs.utexas.edu/users/vlr/papers/tr01-25.pdf,,,,,,,,O(m/p + log^2(n) log*(n)),O(m/p + log^2(n) log*(n)),,,O(m+n),20,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,connected components of the complement of an undirected graph,,,,,,,,,,"Chong, Nikolopoulos, Palios",2004,https://link.springer.com/content/pdf/10.1007/s00224-003-1074-x.pdf,,,,,,,,O(log n),O(log n),1,,O(m+n),20,,,"n: number of vertices
m: number of edges",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O((m+n)/log(n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,biconnectivity of the complement of a given graph,,,,,,,,,,"Nikolopoulos, Palios",2007,https://www.sciencedirect.com/science/article/pii/S0166218X07000625,,,,,,,,O(log^2 n),O(log^2 n),2,,O(n+m),20,,,"n: number of vertices
m: number of edges",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O((n+m)/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,connected components of the complement of an undirected graph,,,,,,,,,,"Nikolopoulos, Palios",2007,https://www.sciencedirect.com/science/article/pii/S0166218X07000625,,,,,,,,O(log^2 n),O(log n),1,,O(n+m),20,,,"n: number of vertices
m: number of edges",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O((n+m)/log^2 n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,SCC of the complement of a given graph,,,,,,,,,,"Nikolopoulos, Palios",2007,https://www.sciencedirect.com/science/article/pii/S0166218X07000625,,,,,,,,O(log^2 n),O(log^2 n),2,,O(m^{1.188}*log n),26.11,,,"n: number of vertices
m: number of edges",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(m^{1.188}/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,,,,,,,,,Schudy,2008,https://dl.acm.org/doi/pdf/10.1145/1378533.1378560,,,,,,,,O(τ log^2 n),O(τ log^2 n),,,O(pτ log^2 n),,,,"n: number of nodes
p: number of processors
τ: runtime for a multi-source reachability query executed in parallel on p processors",,,,CRCW PRAM,130,,,,,,,,,1,Las-Vegas,0,,,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Strongly Connected Components,1,,,,,,,,,,,Bloemen,2015,http://essay.utwente.nl/67128/1/Bloemen_MA_EEMCS.pdf,,,,,,,,O(V + E),O(V + E),,,O(P · (V + E)),,,,"V: number of vertices
E: number of edges
P: number of processors",,,,Unlisted (SIMD?),,,,,,,,,,0,,0,,0,1,P,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"connected, undirected, weighted",,Sollin method,,,,,,,,Savage,1977,https://www.proquest.com/docview/302856503?pq-origsite=gscholar&fromopenview=true,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O(n^2*log(n)),21,,"yes? speedup=O(n^2/log^2(n))
efficiency=O(1/log(n))",n: number of vertices,,,,SIMD-SM-R (CREW PRAM?),210,,,,,,,,,0,,0,,0,1,n^2/log(n),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,undirected MSF,,,,,,,,,,"Hirschberg, Chandra, Sarwate",1979,https://dl.acm.org/doi/pdf/10.1145/359138.359141,,,,,,,,O(log^2(n)),O(log^2(n)),2,,O(n^2*log(n)),21,,,n: number of vertices,,,,SIMD-SM CREW,210,,,,,,,,,0,,0,,0,1,n ceilling(n/log^2(n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,,,,,,,,,,,Bentley,1980,https://www.sciencedirect.com/science/article/pii/0196677480900048,,,,,,,,O(log^2 n),O(log^2 n),2,,O(n log n),11,,,n: number of nodes,,,,tree machine,,,,,,,,,,0,,0,,0,1,n/log n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,,,Prim-Dijkstra,,,,,,,,Deo and Yoo,1981,"DEO, N., AND YOO, Y. B. 1981. Parallel algorithms for the minimum spanning tree problem.",,,,,,,,O(n^1.5),O(n^1.5),1.5,https://dl.acm.org/doi/pdf/10.1145/2514.2515,O(n^2),20,https://dl.acm.org/doi/pdf/10.1145/2514.2515,,n: number of vertices,,,,MIMD-TC,300,,,,,,,,,0,,0,,0,1,O(n^0.5),,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,
