 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Title,Authors,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
14,Minimum Spanning Tree (MST),1,"""sufficiently dense""
m/n >= p",,Sollin method,,,,,,,,"Dehne, Gotz",1998,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=740525,,,,,,,,O(log p),O(log p),,,"T_seq(n,m/p) + 2*T_seq(n, Dn) + O(n) + g*n + L*log p",,,,"n: number of nodes
m: number of edges",,,,BSP,400,,,,,,,,,0,,0,,0,1,p (<= m/n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"relatively dense graphs (m >= n*p);Undirected, Dense MST",,,,,,,,,,"Adler, Dittrich, Juurlink, Kutylowski, Rieping",1998,https://dl.acm.org/doi/pdf/10.1145/277651.277662,,,,,,,,O(log p),O(log p),,,O(m/p + n * log log p + g * n + L* log p),,,,"n: number of nodes
m: number of edges
p: number of processors",,,,BSP,400,,,,,,,,,0,,0,,0,1,p <= m/n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"relatively dense graphs (p^{1+eps} <= m/n, eps > 0);Undirected, Dense MST",,,,,,,,,,"Adler, Dittrich, Juurlink, Kutylowski, Rieping",1998,https://dl.acm.org/doi/pdf/10.1145/277651.277662,,,,,,,,O(1),O(1),0,,O(m/p + n + g*m/p^{1+eps/2} + L),,,,"n: number of nodes
m: number of edges
p: number of processors",,,,BSP,400,,,,,,,,,0,,0,,0,1,"p^{1+eps} <= m/n
esp > 0",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"all but very sparse graphs;Undirected, Dense MST",,,,,,,,,,"Adler, Dittrich, Juurlink, Kutylowski, Rieping",1998,https://dl.acm.org/doi/pdf/10.1145/277651.277662,,,,,,,,O(log^2(p)/log((m+n)/p)),O(log^2(p)/log((m+n)/p)),,,O(m/p + n/p*log p + g*(m/p + n/p*log p) + L*(log^2(p)/log((m+n)/p))) ,,,,"n: number of nodes
m: number of edges
p: number of processors",,,,BSP,400,,,,,,,,,1,runtime bounds probability 1 - p^{-c} for any constant c > 0,0,,0,1,"p <= m + n
log p <= m/n <= p
eps > 0",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Chong, Han, Lam",1999,https://hub.hku.hk/bitstream/10722/45607/1/40756.pdf?accept=1,,,,,,,,O(log n),O(log n),1,,O((n+m)*log n),11,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,m+n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"PETTIE, RAMACHANDRAN",1999,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3be733422366ebdf4cfc1a21ffb3d70770ce129a,,,,,,,,O(log n),O(log n),1,,O(m+n),10,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,1 - p^{-c} for any constant c > 0,0,,0,1,(m+n)/log n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Pettie, Ramachandran",1999,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3be733422366ebdf4cfc1a21ffb3d70770ce129a,,,,,,,,O(log n),O(log n),1,,O(m+n),10,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,,0,,0,1,(m + n) / log n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Halperin, Zwick",2000,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7d8bf94f2171283c40ac212e51e2fbd01885fa4e,,,,,,,,O(log n),O(log n),1,,O(m+n),10,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,,0,,0,1,(m+n)/log n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Chong, Han, Igarashi, Lam",2001,https://www.sciencedirect.com/science/article/pii/S0166218X02005607,,,,,,,,O(log n),O(log n),1,,O((m+n)*sqrt(log n)),10.5,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O((m+n)/sqrt(log n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Chong, Han, Igarashi, Lam",2001,https://www.sciencedirect.com/science/article/pii/S0166218X02005607,,,,,,,,O(log n),O(log n),1,,O((m+n)*log log n),10.1,,,"n: number of nodes
m: number of edges",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O((m+n)*log log n/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, Dense MST",,,,,,,,,,"Chong, Han, Igarashi, Lam",2001,https://www.sciencedirect.com/science/article/pii/S0166218X02005607,,,,,,,,O(log n),O(log n),1,,O(n^2),10,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(n^2/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,updating MST after deleting 1 node; determines the set of new MST edges for the potential deleting of every node,,,,,,,,,,Das & Loui ,2001,https://link.springer.com/article/10.1007/s00453-001-0061-3,,,,,,,,O(log^2 n),O(log^2 n),2,,O(m*log^2 n),12,,,"n: number of nodes
m: number of edges",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,m,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Chong, Han, Lam",2001,https://dl.acm.org/doi/abs/10.1145/375827.375847,,,,,,,,O(log n),O(log n),1,,O(n*log n),6.1,,,n: number of nodes,,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Pettie, Ramachandran",2001,https://www.cs.utexas.edu/users/vlr/papers/tr01-25.pdf,,,,,,,,O(m/p + log^2(n) log*(n)),O(m/p + log^2(n) log*(n)),2.001,,O(m+n),10,,,"n: number of nodes
m: number of edges",,,,EREW PRAM,110,,,,,,,,,1,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"AHRABIAN, NOWZARI-DALINI",2002,https://www.tandfonline.com/doi/pdf/10.1080/00207160210945,,,,,,,,O(n^2 log n),O(n^2 log n),11,,O(n^3),16,,,n: number of nodes,,,,,120,,,,,,,,,0,,0,,0,1,O(n/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"AHRABIAN, NOWZARI-DALINI",2002,https://www.tandfonline.com/doi/pdf/10.1080/00207160210945,,,,,,,,O(n^3*log(p)/p),O(n^3*log(p)/p),,,O(n^3),16,,,"n: number of nodes
p: number of processors",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",163,Parallel algorithm,,1,1,O(E log(V)/p),,,[https://www.sciencedirect.com/science/article/pii/S0743731506001262 Bader & Cong Parallel Implementation  (2006)],Bader & Cong Parallel Implementation ,2006,https://www.sciencedirect.com/science/article/pii/S0743731506001262,,,,0,0,5.01,"E: 3,
V: 5.01",O(E \log(V)/p),$O(E\log(V)/p)$,,https://www.sciencedirect.com/science/article/pii/S0743731506001262,$O(E\log(V)$,11,https://www.sciencedirect.com/science/article/pii/S0743731506001262,only experimentally?,"V: number of vertices
E: number of edges
U: maximum edge weight
p: number of processors",V,https://www.sciencedirect.com/science/article/pii/S0743731506001262,0,PRAM/SMPs?,300,words,3,"V: 3,
E: 1",O(V) total,Initializes and uses a constant number of arrays of size O(V) (and does work similar to work done in Boruvka/Prim algorithm),1,0,,0,,0,,0,1,p,,0,0,,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset
 of the edges of a connected; edge-weighted undirected graph that
 connects all the vertices together; without any cycles and
 with the minimum possible total edge weight.",,,,,,"V:E
5:7",,,,,,,8.7,583.3333333,,,,,,,,5,,,Combinatorics
14,Minimum Spanning Tree (MST),1,"Undirected, General MST; Undirected, Dense MST",,,,,,,,,,"Tripathy, Ray",2013,https://www.proquest.com/docview/1505018621,,,,,,,,O(m*log(n)/p),O(m*log(n)/p),,,O(m*log(n)),11,,,"n: number of nodes
m: number of edges
p: number of processors",,,,"""multiprocessor system"", ""shared memory""",300,,,,,,,,,0,,0,,0,1,p <=n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minimum Spanning Tree (MST),1,Euclidean MST,,,,,,,,,,"Wang, Yu, Gu, Shun",2021,https://dl.acm.org/doi/pdf/10.1145/3448016.3457296,,,,,,,,𝑂(log^2 𝑛),𝑂(log^2 𝑛),2,,𝑂(𝑛^2),10,,,n: number of vertices,,,,work-depth,,,,,,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,"2-dimensional space, Euclidean metric",,,,,,,,,[https://link.springer.com/article/10.1007/BF01758749 Cole & Gooddrich (1988)],Cole & Gooddrich,1988,https://link.springer.com/article/10.1007/BF01758749,,,,,,,,O(log n),O(log n),1,https://link.springer.com/article/10.1007/BF01758749,O(n log n),6.1,https://link.springer.com/article/10.1007/BF01758749,no,n: number of points,,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(n),,0,0,,"Given $n$ points in 2-dimensional space equipped with the Eucildean metric, find a pair of points with the smallest distance between them. ",,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,"k-dimensional space, $l_m$ (or $l_\infty$) norm",,,,,,,,,[https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834886 Lenhof & Smid (1992)],Lenhof & Smid,1992,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834886,,,,,,,,O((log n)^2 log log n),O((log n)^2 log log n),2.1,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834886,O(nlog n log log n + k),,https://pure.mpg.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_1834886,no,"n: number of points
k: kth closest pair",,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O(n/log n + k/((log n)^2 log log n)),,0,0,,"Given $n$ points in metric space, typically $k$-dimensional space equipped with $l_m$ (or $l_\infty$) norm, find a pair of points with the smallest distance between them. ",,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,2-dimensional array representation,173,,,1,1,O(n) using O(n^2) processors,,,[https://www.sciencedirect.com/science/article/pii/0020019080900356 Dyer (1980)],Dyer,1980,https://www.sciencedirect.com/science/article/pii/0020019080900356,,,,0,0,3,n: 3,$O(n)$ using $O(n^2)$ processors,$O(n)$,6,https://www.sciencedirect.com/science/article/pii/0020019080900356,$O(n^3)$,16,https://www.sciencedirect.com/science/article/pii/0020019080900356,no,n: number of points,n,,,log-space pyramid cellular automaton,600,words,5,n: 5,O(n^2),https://www.sciencedirect.com/science/article/pii/0020019080900356,0,1,,0,,0,,0,1,O(n^2),,0,0,,"given n points in metric space; find a pair of points with the smallest
 distance between them. ",,,,,,,,,,,,,1000,1000,,,,,,,,4,,,Image Processing
15,Closest Pair Problem,1,"2-dimensional space, Eucledian metric",,,,,,,,,,"MacKenzie, Stout",1991,https://www.researchgate.net/profile/Q-Stout/publication/2449701_Ultra-Fast_Expected_Time_Parallel_Algorithms/links/0c960527a896da1aea000000/Ultra-Fast-Expected-Time-Parallel-Algorithms.pdf,,,,,,,,O(1) expected,O(1) expected,,,O(n) expected,,,,n: number of points,,,,Arbitrary CRCW PRAM,131,,,,,,,,,1,,0,,0,1,n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,closest pair after m updates,,,,,,,,,,"Wang, Yu, Gu, Shun",2021,https://arxiv.org/pdf/2010.02379.pdf,,,,,,,,O(log(n + m)log^∗(n + m)),O(log(n + m)log^∗(n + m)),,,O(m(1 + log((n + m)/m))) ,,,,"n: number of points
m: number of changes to the initial set of points",,,,work-depth with arbitrary concurrent writes,,,,,,,,,,1,whp,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,,,,,,,,,,,"Atallah, Goodrich",1986,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1424&context=cstech,,,,,,,,O(log n log log n),O(log n log log n),1.1,,O(n log n log log n),,,,n: number of points,,,,PRAM CREW,120,,,,,,,,,0,,0,,0,1,O(n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,Euclidean space in k dimensions,,,,,,,,,,"Blelloch, Maggs",2010,https://dl.acm.org/doi/pdf/10.5555/1882723.1882748,,,,,,,,O(log^2 n),O(log^2 n),2,,O(n log n),6.1,,,n: number of points,,,,language-based model w/ unspecified read/write policy,600,,,,,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,Euclidean space in k dimensions,,,,,,,,,,"Blelloch, Gu, Shun, Sun",2016,https://dl.acm.org/doi/pdf/10.1145/3402819,,,,,,,,O(log n log^∗ n) whp,O(log n log^∗ n) whp,,,O(n) expected,,,,n: number of points,,,,ARBITRARY CRCW PRAM,131,,,,,,,,,1,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Closest Pair Problem,1,"2-dimensional space, Euclidean metric",,,,,,,,,,Callahan,1993,https://www.researchgate.net/profile/Paul-Callahan-3/publication/221498722_Optimal_Parallel_All-Nearest-Neighbors_Using_the_Well-Separated_Pair_Decomposition_Preliminary_Version/links/5453daa60cf2bccc490b2619/Optimal-Parallel-All-Nearest-Neighbors-Using-the-Well-Separated-Pair-Decomposition-Preliminary-Version.pdf,,,,,,,, O(log n), O(log n),1,, O(n log n),6.1,,,n: number of points,,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(n),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,non-negative edge lengths,,,,,,,,,,"Driscoll, Gabow, Shrairman, Tarjan",1987,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,O(m/p + n log n),O(m/p + n log n),6.1,,O(m + np log n),10,,,"n: number of nodes
m: number of edges
p: number of processors",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,p <= m/(n log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,nonnegative weighted digraphs,,,,,,,,,,"Klein, Subramanian",1997,https://www.sciencedirect.com/science/article/abs/pii/S0196677497908889,,,,,,,,O(sqrt(n) log(L) log(n) log*(n)),O(sqrt(n) log(L) log(n) log*(n)),,,O(m sqrt(n) log(L) log(n)),,,,"n: number of nodes
m: number of edges
L: sum of edge lengths",,,,ARBITRARY CRCW PRAM,131,,,,,,,,,1,,0,,0,1,O(m/log*n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,directed nonnegative,,,,,,"Expected span: O(log^3 n/ log log n) 
Expected work: O(dn)",random directed graphs with edge probability d/n and uniformly distributed edge weights,,,"Meyer, Sanders (Delta stepping)",1998,https://link.springer.com/chapter/10.1007/3-540-68530-8_33,,,,,,,,,,,,,,,,"n: number of nodes
d: maximum degree",,,,ARBITRARY CRCW PRAM,131,,,,,,,,,1,,0,,0,1,O(dn log log n /log^3 n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,directed nonnegative; the ratio d_c/∆ is not too large; random graphs,,,,,,"Expected span: O(log^2 n) 
Expected work: O(m+n)",random directed graphs with edge probability d/n and uniformly distributed edge weights,,,"Meyer, Sanders",2000,https://link.springer.com/chapter/10.1007/3-540-44520-X_61,,,,,,,,,,,,,,,,"n: number of edges
d_c: the maximum weight of a shortest path
∆: ""safe step width""",,,,CRCW PRAM,130,,,,,,,,,1,,0,,0,1,O(m/log^2 n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,directed nonnegative; the ratio d_c/∆ is not too large,,,,,,,,,,"Meyer, Sanders",2000,https://link.springer.com/chapter/10.1007/3-540-44520-X_61,,,,,,,,O((l_∆ + d_c/∆) log n) whp,O((l_∆ + d_c/∆) log n) whp,,,O(m + n'_{∆+}) whp,,,,"n: number of edges
d_c: the maximum weight of a shortest path
∆: ""safe step width""
l_∆: maximum number of iterations",,,,CRCW PRAM,130,,,,,,,,,1,whp,0,,0,1,O((m + n'_{∆+})/((l_∆ + d_c/∆) log n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,undirected graphs with nonnegative edge weights,,,,,,,,,,"Maleki, Nguyen, Lenharth, Garzarán, Padua, Pingali",2016,https://dl.acm.org/doi/abs/10.1145/2925426.2926287,,,,,,,,O((|E| + L_D)/P + (|E| + L_D)/D),O((|E| + L_D)/P + (|E| + L_D)/D),,,O((|E| + L_D) + (|E| + L_D)P/D),,,,"|E|: number of edges
P: number of processors
D: number of edge relaxations between communications
L_D: work overhead",,,,BSP (written for SPMD),400,,,,,,,,,0,,0,,0,1,P,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,weighted digraph,,,,,,,,,,Amato,1991,https://core.ac.uk/download/pdf/158320008.pdf,,,,,,,,O(log^2 n),O(log^2 n),2,,M(n),,,,"n: number of nodes
M(n): number of processors necessary to multiply two nxn integer matrices over a ring in O(log n) time",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,M(n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,,,∆-stepping,,,,,,,,"Dhulipala, Blelloch, Shun",2017,https://dl.acm.org/doi/pdf/10.1145/3087556.3087580,,,,,,,,O(d_∆ log |V|) whp,O(d_∆ log |V|) whp,,,expected O(w_∆),,,,"w∆, d∆: work and number of rounds of the original ∆-stepping algorithm",,,,work-depth CRCW,,,,,,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,,,wBFS,,,,,,,,"Dhulipala, Blelloch, Shun",2017,https://dl.acm.org/doi/pdf/10.1145/3087556.3087580,,,,,,,,O(r_{src} + |E|)  whp,O(r_{src} + |E|)  whp,,,expected O(r_{src} log |V|),,,,r_{src}: eccentricity from src; longest SP dist bet src and any reachable vertex v,,,,work-depth CRCW,,,,,,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,non-negative digraph,,,,,,,,,,"Brodal, Traff, Zaroliagis",1997,https://pure.mpg.de/rest/items/item_1824291_4/component/file_2574443/content,,,,,,,,O(n),O(n),6,,O(m log n),,,,"n: number of nodes
m: number of edges",,,,CREW PRAM,120,,,,,,,,,0,,0,,0,1,O(m log n / n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,"undirected graph, with the ratio of the largest edge weight to the smallest edge weight is less than n^{O(polylog n)}, positive weights",,,,,,,,,,Cohen,1993,https://www.sciencedirect.com/science/article/abs/pii/S0196677496908135,,,,,,,,O(t polylog n),O(t polylog n),,,O((n^2 + n^3/t^2) *polylog n),,,,"n: number of nodes
t = n/d <= n",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(n^2/t + n^3/t^3),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,"undirected graph, positive weights",,,,,,,,,,Cohen,1993,https://www.sciencedirect.com/science/article/abs/pii/S0196677496908135,,,,,,,,O(nR log^3{n}/d),O(nR log^3{n}/d),,,O(n^2R log^3{n} + nd^2 log n),,,,"R = max{1, ceil(log{max_{e \in E} w(e) / min_{e \in E} w(e)})}
1 <= d <= n",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(nd + d^3/(R log^2 n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,undirected graph,,,,,,,,,,"Shi, Spencer",1999,https://dl.acm.org/doi/abs/10.1006/jagm.1998.0968,,,,,,,,O(t log n),O(t log n),,,O((n^3/t^2) log n log(n/t) + m log n),,,,"n: number of nodes
m: number of edges
log n <= t <= n",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O((n^3/t^3) log(n/t) + m/t),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,undirected graph,,,,,,,,,,"Shi, Spencer",1999,https://dl.acm.org/doi/abs/10.1006/jagm.1998.0968,,,,,,,,O(t log n),O(t log n),,,O((n^3/t^3 + mn/t) log n) for any t in the range log n <= t <= n,,,,"n: number of nodes
m: number of edges
log n <= t <= n",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(n^3/t^4 + mn/t^2) for any t in the range log n <= t <= n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,non-negative planar directed graph,,,,,,,,,,"Klein, Rao, Rauch, Subramanian",1994,https://dl.acm.org/doi/pdf/10.1145/195058.195092,,,,,,,,O(n^{2/3} log nL log^3 n),O(n^{2/3} log nL log^3 n),,,O(n^{4/3} log nL log n),,,,L: maximum magnitude of lengths,,,,Unlisted (assume CRCW PRAM),130,,,,,,,,,0,,0,,0,1,O(n^{2/3}/log^2 n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),0.001,,,,,,,,,,,"Mohr, Pasche",1988,https://dl.acm.org/doi/abs/10.1007/BF02276912,,,,,,,,,,,,,,,,,,,,MIMD,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,digraphs w/ non-negative integer weights,,,,,,,,,,"Cao, Fineman",2023,https://epubs.siam.org/doi/pdf/10.1137/1.9781611977554.ch166,,,,,,,,n^{1/2+o(1)} whp,n^{1/2+o(1)} whp,,,O˜(m),,,,"n: number of vertices
m: number of edges",,,,work-depth,,,,,,,,,,1,,0,,0,1,\tilde{O}(m/(n^{1/2+o(1))},,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,planar graphs with nonnegative edge-lengths,,,,,,,,,,"Henzinger, Klein, Rao, Subramania",1997,https://www.sciencedirect.com/science/article/pii/S0022000097914938/pdf,,,,,,,,O(n^{2/3} log(nL) log^3 n),O(n^{2/3} log(nL) log^3 n),,,O(n^{4/3} log(nL) log n),,,,"n: number of vertices
L: absolute value of the most negative length",,,,unlisted (assume PRAM CRCW),130,,,,,,,,,0,,0,,0,1,O(n^{2/3}/log^2 n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,planar digraphs with nonnegative real edge weights,,,,,,,,,,"Traff, Zaroliagis",1996,https://pure.mpg.de/rest/items/item_1827410_4/component/file_2574036/content,,,,,,,,O((n^{2\eps} +n^{1-\eps}) log n),O((n^{2\eps} +n^{1-\eps}) log n),,,O(n^{1+\eps}),,,,0 < \eps < 1/2,,,,PRAM EREW,110,,,,,,,,,0,,0,,0,1,O(n^{1+\eps} / ((n^{2\eps} +n^{1-\eps}) log n)),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,weighted directed graph,,,,,,,,,,Cohen,1993,https://dl.acm.org/doi/pdf/10.1145/165231.165240,,,,,,,,O(log^2 n),O(log^2 n),,,O((n + n^{3\mu}) log n + s(n + n^{2\mu})),,,,"n: number of vertices
s: number of sources
k^{\mu}-separator decomposition ",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(((n + n^{3\mu}) log n + s(n + n^{2\mu}))/log^2 n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,edge lengths between 1 and L,,,,,,,,,,Spencer,1991,https://dl.acm.org/doi/pdf/10.1145/113379.113387,,,,,,,,O((n/p) log n log(pL)),O((n/p) log n log(pL)),,,O(np^2 log p log(pL)) + \tilde{O}(m + n log L),,,,"n: number of vertices
m: number of edges
L: length of the longest edge
p <= n",,,,EREW PRAM,110,,,,,,,,,0,,0,,0,1,O(p^3 log p / log(n)) + \tilde{O}((m + n log L) / ((n/p) log n log(pL)) ),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shortest Path (Directed Graphs),1,directed,,,,,,,,,,Garg,2018,https://arxiv.org/pdf/1812.10499,,,,,,,,O(n log log n),O(n log log n),,,O(nm),,,,"n: number of vertices
m: number of edges",,,,common CRCW PRAM,132,,,,,,,,,0,,0,,0,1,m,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,All-Pairs Shortest Paths (APSP),1,APSP,,Warshall-Floyd method,,,,,,,,Levitt and Kautz,1972,https://dl.acm.org/doi/abs/10.1145/361573.361576,,,,,,,,O(n),O(n),6,,O(n^3),16,,,n: number of vertices,,,,Systolic array,600,,,,,,,,,0,,0,,0,1,n^2,10,0,0,originally found in  https://dl.acm.org/doi/pdf/10.1145/2514.2515,,,,,,,,,,,,,,,,,,,,,,,,,,
